Max: 17; Mean: 16.96; Variance: 0.0384; Size: 1000; Time: 148.694 ms; Top5 histogram(relative to max) : 0 0 0 40 960 ;
Max: 18; Mean: 17.985; Variance: 0.014775; Size: 1000; Time: 158.729 ms; Top5 histogram(relative to max) : 0 0 0 15 985 ;
Max: 19; Mean: 18.995; Variance: 0.004975; Size: 1000; Time: 165.486 ms; Top5 histogram(relative to max) : 0 0 0 5 995 ;
Max: 20; Mean: 19.989; Variance: 0.010879; Size: 1000; Time: 176.463 ms; Top5 histogram(relative to max) : 0 0 0 11 989 ;
Max: 21; Mean: 20.995; Variance: 0.004975; Size: 1000; Time: 196.31 ms; Top5 histogram(relative to max) : 0 0 0 5 995 ;
Max: 22; Mean: 21.997; Variance: 0.002991; Size: 1000; Time: 198.438 ms; Top5 histogram(relative to max) : 0 0 0 3 997 ;
Max: 23; Mean: 22.998; Variance: 0.001996; Size: 1000; Time: 210.892 ms; Top5 histogram(relative to max) : 0 0 0 2 998 ;
Max: 24; Mean: 24; Variance: 0; Size: 1000; Time: 221.491 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 25; Mean: 25; Variance: 0; Size: 1000; Time: 237.82 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 26; Mean: 26; Variance: 0; Size: 1000; Time: 248.236 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 27; Mean: 26.999; Variance: 0.000999; Size: 1000; Time: 262.203 ms; Top5 histogram(relative to max) : 0 0 0 1 999 ;
Max: 28; Mean: 28; Variance: 0; Size: 1000; Time: 275.212 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 29; Mean: 28.999; Variance: 0.000999; Size: 1000; Time: 293.895 ms; Top5 histogram(relative to max) : 0 0 0 1 999 ;
Max: 30; Mean: 29.999; Variance: 0.000999; Size: 1000; Time: 310.882 ms; Top5 histogram(relative to max) : 0 0 0 1 999 ;
Max: 31; Mean: 30.999; Variance: 0.000999; Size: 1000; Time: 321.416 ms; Top5 histogram(relative to max) : 0 0 0 1 999 ;
Max: 32; Mean: 32; Variance: 0; Size: 1000; Time: 342.13 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 33; Mean: 33; Variance: 0; Size: 1000; Time: 349.959 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 34; Mean: 34; Variance: 0; Size: 1000; Time: 363.352 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 35; Mean: 35; Variance: 0; Size: 1000; Time: 375.799 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 36; Mean: 36; Variance: 0; Size: 1000; Time: 393.718 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 37; Mean: 37; Variance: 0; Size: 1000; Time: 411.519 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 38; Mean: 38; Variance: 0; Size: 1000; Time: 428.278 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 39; Mean: 38.999; Variance: 0.000999; Size: 1000; Time: 453.296 ms; Top5 histogram(relative to max) : 0 0 0 1 999 ;
Max: 40; Mean: 40; Variance: 0; Size: 1000; Time: 458.271 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
Max: 41; Mean: 41; Variance: 0; Size: 1000; Time: 475.842 ms; Top5 histogram(relative to max) : 0 0 0 0 1000 ;
